         5404677066 function calls (5396010005 primitive calls) in 1430.985 seconds

   Ordered by: cumulative time
   List reduced from 4492 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16424    0.056    0.000    3.301    0.000 generic.py:3894(_take_with_is_copy)
     2154    0.002    0.000    3.293    0.002 base.py:931(__array__)
     1653    0.004    0.000    3.286    0.002 datetimes.py:562(__array__)
     1653    0.103    0.000    3.281    0.002 datetimelike.py:330(__array__)
        3    0.000    0.000    3.267    1.089 excel.py:208(_write_worksheets)
       12    0.000    0.000    3.267    0.272 excel.py:190(write_worksheet)
 11806526    3.244    0.000    3.244    0.000 numerictypes.py:583(<listcomp>)
     1729    0.015    0.000    3.226    0.002 function_base.py:5562(append)
    29529    0.020    0.000    3.223    0.000 {built-in method numpy.asanyarray}
  2111610    1.386    0.000    3.221    0.000 base.py:5934(_get_values_for_loc)
       12    0.000    0.000    3.070    0.256 _writer.py:354(write)
 35909923    3.005    0.000    3.005    0.000 {method 'rstrip' of 'str' objects}
   326152    1.958    0.000    2.997    0.000 {pandas._libs.lib.maybe_convert_objects}
