         5406986886 function calls (5398158676 primitive calls) in 1400.685 seconds

   Ordered by: cumulative time
   List reduced from 4496 to 200 due to restriction <200>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   254425    0.159    0.000   10.332    0.000 movingAverageStrategy.py:41(_bearish_fan_out_rule)
   614835    0.996    0.000   10.074    0.000 managers.py:616(copy)
   374169    1.925    0.000    9.748    0.000 construction.py:493(sanitize_array)
    12214    0.037    0.000    9.578    0.001 decorators.py:7(check_trade_status)
  2917491    2.192    0.000    9.272    0.000 common.py:96(is_bool_indexer)
 15571800    4.163    0.000    9.165    0.000 generic.py:45(_instancecheck)
   619394    1.566    0.000    8.988    0.000 managers.py:301(apply)
5164526/4855628    1.740    0.000    8.699    0.000 {built-in method builtins.all}
  1560770    4.847    0.000    8.482    0.000 generic.py:5844(__finalize__)
72201529/65954512    6.414    0.000    8.398    0.000 {built-in method builtins.len}
  1208781    2.542    0.000    8.342    0.000 blocks.py:2172(new_block)
        1    8.301    8.301    8.301    8.301 {built-in method posix.system}
  2530945    2.176    0.000    8.160    0.000 series.py:661(name)
  2155654    1.190    0.000    8.020    0.000 base.py:5363(_can_hold_identifiers_and_holds_name)
     3469    0.048    0.000    6.743    0.002 trade.py:107(setup_TP)
  2111610    1.504    0.000    6.607    0.000 series.py:1072(_get_value)
     1638    0.007    0.000    6.548    0.004 trade.py:262(calc_EXIT)
     1638    0.008    0.000    6.536    0.004 trade.py:274(EXIT_STOP_LIMIT)
     1638    0.266    0.000    6.519    0.004 trade.py:294(_EXIT_STOP_LIMIT)
1915602/1915530    0.897    0.000    6.443    0.000 {built-in method builtins.any}
  2844942    2.186    0.000    6.309    0.000 indexing.py:1539(_validate_integer)
  2533500    1.242    0.000    5.989    0.000 common.py:1725(validate_all_hashable)
    69024    0.376    0.000    5.903    0.000 frame.py:3758(__getitem__)
    44143    0.295    0.000    5.802    0.000 series.py:3194(_construct_result)
      503    0.014    0.000    5.706    0.011 _common.py:74(get_weekly_candle_range)
   618530    5.026    0.000    5.166    0.000 blocks.py:544(copy)
  2155654    0.868    0.000    4.899    0.000 base.py:2581(is_object)
 15571800    3.607    0.000    4.834    0.000 generic.py:40(_check)
  5060659    3.149    0.000    4.681    0.000 indexing.py:2656(check_deprecated_indexers)
  2529111    0.595    0.000    4.641    0.000 cast.py:1635(<genexpr>)
     1003    0.235    0.000    4.579    0.005 construction.py:627(_extract_index)
    32730    0.091    0.000    4.544    0.000 indexing.py:1276(_getitem_axis)
22485481/22395570    2.828    0.000    4.525    0.000 {built-in method builtins.getattr}
     3469    0.126    0.000    4.521    0.001 common.py:16(find_last_high)
  1165957    4.467    0.000    4.467    0.000 {built-in method _from_value_and_reso}
