Index,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting,Ticker
47,STELLANTIS NV ORD,NL00150001Q9,Niederlande,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Basiskonsumgüter,"0,45%",STLA
48,LONDON STOCK EXCHANGE GROUP ORD,GB00B0SWJX34,Großbritannien (UK),GBP,London Stock Exchange,Equity,Baa2,FTSE 100 Index,Finanzdienstleister,"0,45%",LSEG.L
49,INTESA SANPAOLO ORD,IT0000072618,Italien,EUR,Milan Stock Exchange,Equity,Baa2,FTSE Italia All-Share Index,Finanzdienstleister,"0,45%",ISP.MI
50,CRH PLC ORD,IE0001827041,Irland,GBP,Irish Stock Exchange,Equity,Baa2,ISEQ Irish Overall Index,Industrieunternehmen,"0,45%",CRH
51,NATIONAL GRID ORD,GB00BDR05C01,Großbritannien (UK),GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Versorgungsunternehmen,"0,44%",NG.L
52,COMPASS GROUP ORD,GB00BD6K4575,Großbritannien (UK),GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Verbrauchsgüter,"0,44%",CPG.L
53,ING GROEP ORD,NL0011821202,Niederlande,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Finanzdienstleister,"0,44%",INGA.AS
54,INDUSTRIA DISENO TEXTIL ORD,ES0148396007,Spanien,EUR,Mercado Continuo Espana,Equity,-,IBEX 35 Index,Verbrauchsgüter,"0,43%",ITX.MC
55,INFINEON TECHNOLOGIES ORD,DE0006231004,Deutschland,EUR,XETRA,Equity,-,DAX Index,Technologie,"0,43%",IFX.DE
56,PROSUS NV ORD,NL0013654783,Niederlande,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Technologie,"0,42%",PRX.AS
57,BAE SYSTEMS ORD,GB0002634946,Großbritannien (UK),GBP,London Stock Exchange,Equity,Baa2,FTSE 100 Index,Industrieunternehmen,"0,41%",BA.L
58,DEUTSCHE POST ORD,DE0005552004,Deutschland,EUR,XETRA,Equity,Baa1,DAX Index,Industrieunternehmen,"0,40%",DHL.DE
59,NORDEA BANK ABP ORD,FI4000297767,Finnland,EUR,Helsinki Stock Exchange,Equity,-,OMX Stockholm 30 Index,Finanzdienstleister,"0,39%",NDA-SE.ST
60,INVESTOR ORD,SE0015811963,Schweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Finanzdienstleister,"0,39%",INVE-B.ST
61,BASF SE ORD,DE000BASF111,Deutschland,EUR,XETRA,Equity,A1,DAX Index,Grundstoffe,"0,38%",BAS.DE
62,GROUPE DANONE ORD,FR0000120644,Frankreich,EUR,Euronext Paris,Equity,A3,CAC 40 Index,Basiskonsumgüter,"0,38%",BN.PA
63,SIKA ORD,CH0418792922,Schweiz,CHF,-,Equity,-,Swiss Market Index,Industrieunternehmen,"0,38%",SIKA.SW
64,ATLAS COPCO SR A ORD,SE0017486889,Schweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Industrieunternehmen,"0,37%",ATCO-A.ST
65,FERRARI N V/D,NL0011585146,Italien,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Basiskonsumgüter,"0,37%",RACE.MI
66,HOLCIM LTD AG,CH0012214059,Vereinigte Staaten von Amerika,CHF,Scoach Switzerland,Equity,Baa2,Swiss Market Index,Industrieunternehmen,"0,37%",HOLN.SW
67,CAPGEMINI ORD,FR0000125338,Frankreich,EUR,Euronext Paris,Equity,Baa2,CAC 40 Index,Technologie,"0,35%",CAP.PA
68,EXPERIAN ORD,GB00B19NLV48,Irland,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Industrieunternehmen,"0,34%",EXPN.L
69,VOLVO CL B ORD,SE0000115446,Schweden,SEK,Stockholm Stock Exchange,Equity,Baa2,OMX Stockholm 30 Index,Industrieunternehmen,"0,34%",VOLVBS.XC
70,DEUTSCHE BOERSE AG ORD,DE0005810055,Deutschland,EUR,XETRA,Equity,Aa2,DAX Index,Finanzdienstleister,"0,34%",DB1.DE
71,ALCON INC ORD,CH0432492467,Schweiz,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Gesundheitswesen,"0,34%",ALC.SW
72,DASSAULT SYSTEMES ORD,FR0014003TT8,Frankreich,EUR,-,Equity,-,-,Technologie,"0,34%",DSY.PA
73,LONZA GRP AG N ORD,CH0013841017,Schweiz,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Gesundheitswesen,"0,33%",LONN.SW
74,WOLTERS KLUWERS ORD,NL0000395903,Niederlande,EUR,Euronext Amsterdam,Equity,Baa1,Amsterdam Exchanges Index,Verbrauchsgüter,"0,33%",WKL.AS
75,ENI ORD,IT0003132476,Italien,EUR,Milan Stock Exchange,Equity,A3,FTSE Italia All-Share Index,Energie,"0,33%",ENI.MI
76,FLUTTER ENTERTAINMENT ORD,IE00BWT6H894,Irland,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Verbrauchsgüter,"0,33%",FLTR.L
77,ADYEN NV ORD,NL0012969182,Niederlande,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Industrieunternehmen,"0,33%",ADYEN.AS
78,SAINT-GOBAIN ORD,FR0000125007,Frankreich,EUR,Euronext Paris,Equity,Baa2,CAC 40 Index,Industrieunternehmen,"0,32%",SGO.PA
79,LLOYDS TSB GRP,GB0008706128,Großbritannien (UK),GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Finanzdienstleister,"0,31%",LLOY.L
80,GIVAUDAN ORD,CH0010645932,Schweiz,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Grundstoffe,"0,30%",GIVN.SW
81,SWISS REINSURANCE ORD,CH0126881561,Schweiz,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Finanzdienstleister,"0,30%",SREN.SW
82,PERNOD-RICARD ORD,FR0000120693,Frankreich,EUR,Euronext Paris,Equity,Baa3,CAC 40 Index,Basiskonsumgüter,"0,30%",RI.PA
83,DSV AS ORD,DK0060079531,Dänemark,DKK,Copenhagen Stock Exchange,Equity,-,OMX COPENHAGEN 20 Index,Industrieunternehmen,"0,29%",DSV.CO
84,ROLLS-ROYCE HOLDINGS ORD,GB00B63H8491,Großbritannien (UK),GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Industrieunternehmen,"0,29%",RR.L
85,AMADEUS IT GROUP SA ORD,ES0109067019,Spanien,EUR,Mercado Continuo Espana,Equity,Baa2,IBEX 35 Index,Technologie,"0,28%",AMS.MC
86,ADIDAS ORD,DE000A1EWWW0,Deutschland,EUR,XETRA,Equity,-,DAX Index,Verbrauchsgüter,"0,28%",ADS.DE
87,BMW AG,DE0005190003,Deutschland,EUR,XETRA,Equity,A2,DAX Index,Basiskonsumgüter,"0,28%",BMW.DE
88,PARTNERS GROUPAG ORD,CH0024608827,Schweiz,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Finanzdienstleister,"0,28%",PGHN.SW
89,BAYER AG,DE000BAY0017,Deutschland,EUR,XETRA,Equity,A3,DAX Index,Gesundheitswesen,"0,28%",BAYN.DE
90,3I GROUP ORD,GB00B1YW4409,Großbritannien (UK),GBP,London Stock Exchange,Equity,Baa2,FTSE 100 Index,Finanzdienstleister,"0,27%",III.L
91,ANGLO AMERICAN ORD,GB00B1XZS820,Großbritannien (UK),GBP,London Stock Exchange,Equity,Baa2,FTSE 100 Index,Grundstoffe,"0,27%",AAL.L
92,ENGIE ORD,FR0010208488,Frankreich,EUR,Euronext Paris,Equity,A1,CAC 40 Index,Versorgungsunternehmen,"0,27%",ENGI.PA
93,ASHTEAD GROUP ORD,GB0000536739,Großbritannien (UK),GBP,London Stock Exchange,Equity,Ba2,FTSE 100 Index,Industrieunternehmen,"0,27%",AHT.L
94,KERING SA,FR0000121485,Frankreich,EUR,Euronext Paris,Equity,Baa2,CAC 40 Index,Verbrauchsgüter,"0,27%",KER.PA
95,STMICROELECTRONICS ORD,NL0000226223,Niederlande,EUR,Euronext Paris,Equity,Baa2,CAC 40 Index,Technologie,"0,26%",STMPA.PA
96,HEINEKEN ORD,NL0000009165,Niederlande,EUR,Euronext Amsterdam,Equity,Baa1,Amsterdam Exchanges Index,Basiskonsumgüter,"0,26%",HEIA.AS
97,VESTAS WIND SYSTEMS ORD,DK0061539921,Dänemark,DKK,Copenhagen Stock Exchange,Equity,-,-,Energie,"0,26%",VWS.CO
98,PRUDENTIAL PLC,GB0007099541,Hong Kong,GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Finanzdienstleister,"0,26%",PRU.L
99,EQUINOR ORD,NO0010096985,Norwegen,NOK,Oslo Stock Exchange,Equity,B1,Oslo SE All-share Index,Energie,"0,26%",EQNR.OL
100,E.ON ORD,DE000ENAG999,Deutschland,EUR,XETRA,Equity,A3,DAX Index,Versorgungsunternehmen,"0,25%",EOAN.DE
101,ASSA ABLOY ORD,SE0007100581,Schweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Industrieunternehmen,"0,25%",ASSA-B.ST
102,KONINKLIJKE AHOLD DELHAIZE NV ORD,NL0011794037,Niederlande,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Verbrauchsgüter,"0,24%",AD.AS
103,VOLKSWAGEN PRF,DE0007664039,Deutschland,EUR,XETRA,Equity,A3,DAX Index,Basiskonsumgüter,"0,24%",VOW3.DE
104,DEUTSCHE BANK ORD,DE0005140008,Deutschland,EUR,XETRA,Equity,-,DAX Index,Finanzdienstleister,"0,24%",DBK.DE
105,BARCLAYS ORD,GB0031348658,Großbritannien (UK),GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Finanzdienstleister,"0,24%",BARC.L
106,ASM INTL ORD,NL0000334118,Niederlande,EUR,Euronext Amsterdam,Equity,Ba1,Amsterdam Exchanges Index,Technologie,"0,23%",ASM.AS
107,LEGRAND ORD,FR0010307819,Frankreich,EUR,Euronext Paris,Equity,A3,CAC 40 Index,Industrieunternehmen,"0,23%",LR.PA
108,TESCO ORD,GB00BLGZ9862,Großbritannien (UK),GBP,-,Equity,-,-,Verbrauchsgüter,"0,23%",TSCO.L
109,HALEON PLC ORD,GB00BMX86B70,Großbritannien (UK),GBP,-,Equity,-,-,Gesundheitswesen,"0,23%",HLN.L
110,RWE ST A ORD,DE0007037129,Deutschland,EUR,XETRA,Equity,Baa1,DAX Index,Versorgungsunternehmen,"0,23%",RWE.DE
111,GENERALI ORD,IT0000062072,Italien,EUR,Milan Stock Exchange,Equity,Baa2,FTSE Italia All-Share Index,Finanzdienstleister,"0,22%",G.MI
112,ORANGE SA,FR0000133308,Frankreich,EUR,Euronext Paris,Equity,Baa1,CAC 40 Index,Telekommunikation,"0,22%",ORA.PA
113,PUBLICIS GROUPE ORD,FR0000130577,Frankreich,EUR,Euronext Paris,Equity,Baa2,CAC 40 Index,Verbrauchsgüter,"0,21%",PUB.PA
114,MICHELIN ORD,FR001400AJ45,Frankreich,EUR,-,Equity,-,-,Basiskonsumgüter,"0,21%",ML.PA
115,SSE PLC,GB0007908733,Großbritannien (UK),GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Versorgungsunternehmen,"0,21%",SSE.L
116,TELEFONICA SA ORD,ES0178430E18,Spanien,EUR,Mercado Continuo Espana,Equity,Baa2,IBEX 35 Index,Telekommunikation,"0,21%",TEF.MC
117,HEXAGON ORD,SE0015961909,Schweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Technologie,"0,21%",HEXA-B.ST
118,SKANDINAVISKA ENSKILDAANKEN ORD,SE0000148884,Schweden,SEK,Stockholm Stock Exchange,Equity,A1,OMX Stockholm 30 Index,Finanzdienstleister,"0,21%",SEB-A.ST
119,SANDVIK ORD,SE0000667891,Schweden,SEK,Stockholm Stock Exchange,Equity,Baa2,OMX Stockholm 30 Index,Industrieunternehmen,"0,20%",SAND.ST
120,EVOLUTION AB ORD,SE0012673267,Schweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Verbrauchsgüter,"0,20%",EVO.ST
121,UNIVERSAL MUSIC GROUP NV ORD,NL0015000IY2,Niederlande,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Verbrauchsgüter,"0,20%",UMG.AS
122,ARGEN X NV,NL0010832176,Niederlande,EUR,Euronext Brussels,Equity,-,-,Gesundheitswesen,"0,20%",ARGX.BR
